image_name,BoxesString
006062.png,29 89 41 100
008690.png,3 27 17 40
007436.png,80 67 91 80
000458.png,98 38 110 51
001065.png,49 30 71 52
001471.png,17 14 29 27
001277.png,78 24 91 38
003989.png,69 43 86 56
004684.png,109 107 119 117
006999.png,27 37 38 49
001664.png,104 65 117 78
007203.png,21 50 42 68
009982.png,7 26 25 42;117 30 128 46;32 75 44 87
005924.png,88 20 100 31
008935.png,113 113 123 123
000349.png,65 2 80 18
003807.png,74 4 88 16
007443.png,29 16 48 30
005336.png,111 4 125 16
005834.png,81 50 92 61
007350.png,91 5 107 20
007368.png,22 113 33 123
009545.png,113 29 123 39
005575.png,110 63 122 74
001964.png,76 76 94 93
006607.png,65 76 79 90
007498.png,46 63 61 79
008397.png,51 57 63 70
002515.png,61 37 77 53
007172.png,77 71 91 82
002475.png,100 87 112 103
009240.png,22 77 33 88
004696.png,82 94 98 110
007050.png,110 63 126 79
000588.png,55 9 72 26
008074.png,25 93 42 111
002637.png,31 112 45 124
006073.png,69 60 79 70
006546.png,88 19 103 31
002109.png,38 14 53 28
003142.png,16 80 31 95
004857.png,79 37 96 55
006693.png,86 90 106 109
003564.png,112 49 124 61
006752.png,109 97 127 111
004299.png,3 82 17 97
005468.png,93 85 110 99
002880.png,110 104 126 123
006083.png,16 79 29 95
000993.png,69 70 80 80
007994.png,112 103 124 114
007808.png,56 93 73 107
009605.png,94 15 104 25
009705.png,33 68 45 78
002356.png,40 110 58 125
007920.png,61 23 77 39
002720.png,6 93 22 106
009766.png,49 89 63 106
004423.png,60 93 77 110
002420.png,57 62 78 82
001050.png,72 7 86 19
009923.png,117 55 127 67;27 75 37 85;62 105 72 115
004705.png,94 61 106 71
009255.png,95 39 110 54
001189.png,13 111 30 125
005086.png,52 85 62 95
005032.png,66 107 85 122
005472.png,8 105 22 120
006629.png,58 21 68 32
009123.png,68 37 80 50
005622.png,42 34 56 49
008577.png,80 101 91 113
008812.png,48 3 69 23
007950.png,5 8 15 18
006786.png,67 86 77 96
003304.png,59 11 73 25
008656.png,42 25 53 36
003486.png,53 10 68 25
001461.png,7 11 20 23
002215.png,11 55 23 67
006777.png,109 2 127 18
006205.png,35 93 49 106
000816.png,111 3 125 17
005647.png,48 35 60 47
004871.png,46 1 65 19
006800.png,113 24 123 34
004665.png,67 51 78 62
001782.png,53 22 72 40
003216.png,104 100 123 116
000081.png,9 94 25 108
007554.png,18 1 33 19
004369.png,107 10 117 20
003448.png,63 101 73 112
007700.png,20 17 35 31
002181.png,104 35 120 50
000777.png,83 111 98 126
009149.png,86 69 97 81
008240.png,12 1 27 19
003509.png,35 112 48 124
008130.png,86 2 102 18
000556.png,86 110 98 122
007704.png,112 50 124 64
008372.png,11 66 24 79
002846.png,88 14 108 36
001726.png,2 3 18 20
006648.png,89 77 101 89
002988.png,111 104 125 118
005654.png,50 112 62 124
007778.png,47 58 63 73
006810.png,108 33 128 52
000921.png,91 100 106 115
002303.png,70 90 85 105
003523.png,24 4 38 20
008964.png,53 109 66 120
001978.png,113 5 123 15
005131.png,106 91 117 103
008037.png,27 50 37 60
005043.png,82 60 93 71
005995.png,23 38 41 57
007736.png,10 54 21 64
009746.png,57 4 69 16
007581.png,83 6 100 21
002758.png,77 102 94 119
007031.png,39 27 49 38
006611.png,10 2 26 18
007282.png,95 79 115 96
003355.png,15 96 36 112
007187.png,68 60 78 71
004279.png,75 65 87 77
005481.png,53 55 64 66
006548.png,3 73 17 88
006418.png,64 104 75 115
009662.png,3 8 18 21
006557.png,109 15 122 27
004436.png,108 92 119 103
005276.png,43 69 55 81
008997.png,76 13 87 23
009526.png,97 35 108 46
006332.png,85 51 99 69
000089.png,101 48 112 59
003720.png,81 59 96 71
008073.png,57 9 78 29
006248.png,93 13 109 33
000206.png,21 91 34 105
004825.png,100 111 117 125
003413.png,107 42 118 55
002937.png,97 64 114 77
006361.png,45 101 56 113
000666.png,4 38 16 49
007225.png,5 96 19 111
001232.png,4 60 17 73
007386.png,59 86 70 96
007523.png,107 47 120 59
005275.png,2 93 18 110
001417.png,67 79 78 90
003389.png,53 62 68 80
002382.png,34 53 55 70
001953.png,96 95 106 105
003968.png,90 82 102 97
001228.png,33 48 45 60
005841.png,19 72 33 84
006236.png,46 63 57 73
003248.png,16 66 28 78
008400.png,2 26 18 43
005179.png,5 94 15 105
005382.png,98 42 117 61
007828.png,9 42 22 53
005372.png,3 60 17 74
001249.png,84 29 96 41
002783.png,30 63 44 79
006097.png,14 30 29 44
000417.png,66 3 81 17
007957.png,5 4 17 16
005943.png,24 97 36 109
004851.png,4 86 16 99
008899.png,55 109 74 127
008248.png,71 1 86 19
006591.png,11 95 22 106
007798.png,26 50 39 62
002773.png,19 44 30 56
006535.png,96 32 112 52
007173.png,56 21 67 32
006072.png,10 68 23 82
000042.png,25 19 39 32
006948.png,26 12 36 22
009152.png,2 0 18 21
002259.png,91 11 105 24
005722.png,5 88 15 99
007899.png,17 21 31 36
002430.png,101 64 115 76
003113.png,6 60 26 81
003465.png,40 5 60 24
006871.png,67 97 79 111
006776.png,93 110 104 122
007448.png,12 53 29 70
004261.png,79 53 94 67
002209.png,70 76 83 88
002546.png,81 68 100 83
006996.png,92 52 102 62
002890.png,31 3 43 16
009161.png,67 103 77 114
002531.png,33 40 44 52
001670.png,25 79 42 95
002726.png,75 30 95 50
009259.png,65 4 77 16
001470.png,66 111 79 125
004935.png,11 100 22 111
003634.png,86 52 96 62
006111.png,5 69 19 83
004589.png,64 101 85 117
001856.png,2 68 18 85
003569.png,18 2 36 18
003954.png,15 46 25 57
004545.png,104 3 120 17
007848.png,70 81 87 98
009660.png,91 2 104 18
007680.png,57 5 69 15
005908.png,86 98 100 114
001697.png,105 44 115 54
006135.png,27 91 42 106
000787.png,70 4 85 16
000922.png,32 28 48 45
009979.png,15 10 25 22;57 17 67 27;101 42 115 52
003521.png,82 30 94 42
006990.png,9 6 23 20
007420.png,11 62 28 79
006039.png,47 72 65 89
001407.png,1 66 19 83
008686.png,20 56 35 71
007175.png,0 108 20 128
003384.png,76 33 89 47
000660.png,25 22 41 38
000617.png,88 59 107 76
006523.png,4 12 16 25
005554.png,45 5 59 19
001549.png,52 74 73 92
007360.png,11 35 23 46
000179.png,52 9 64 20
007600.png,16 40 28 52
008004.png,21 8 35 22
003565.png,41 52 55 68
007875.png,50 48 67 68
006091.png,26 33 39 47
004765.png,14 57 29 70
003412.png,88 113 98 123
002794.png,109 86 124 101
004892.png,75 29 91 42
000839.png,71 93 83 105
001648.png,4 59 16 71
003037.png,87 89 100 102
003838.png,28 92 38 103
005595.png,2 99 18 114
006315.png,44 8 57 20
001600.png,113 82 123 93
000421.png,69 66 79 76
007096.png,22 40 37 55
004302.png,106 6 125 25
007605.png,110 57 121 70
001688.png,87 4 100 16
007451.png,30 83 42 95
000030.png,67 112 79 124
000554.png,4 7 16 23
006908.png,26 61 36 72
009569.png,86 4 97 16
006391.png,92 80 105 95
003127.png,64 29 79 44
002036.png,69 112 81 124
009207.png,113 61 123 72
002854.png,5 33 15 44
002539.png,110 4 126 16
006903.png,74 49 94 63
007557.png,46 111 63 125
004804.png,84 102 100 115
006681.png,16 87 26 98
002247.png,96 70 106 80
008334.png,57 25 71 40
006447.png,95 39 106 50
004067.png,56 107 72 127
008802.png,24 36 34 46
005975.png,80 104 95 116
007067.png,2 3 18 20
003379.png,75 5 85 15
000058.png,63 83 79 98
003428.png,38 93 55 111
001207.png,74 66 86 78
006352.png,105 91 120 108
000281.png,106 19 116 29
004042.png,32 66 47 79
003300.png,102 5 112 15
